algorithm,n,z,target,seed,elapsed_ms,operations,iterations,nodes_count,mismatch
TwoWays BFS,240,1,0,282,2.125500,20523,20523,2,no
LCA,240,1,0,282,0.200000,2806,2806,2,no
Binary Lifting,240,1,0,282,0.262400,2937,2937,2,no
Basic BFS,240,5,0,282,0.012700,103,103,15,no
TwoWays BFS,240,5,0,282,2.162900,20523,20523,15,no
LCA,240,5,0,282,0.204500,2806,2806,15,no
Binary Lifting,240,5,0,282,0.250700,2937,2937,15,no
Basic BFS,240,10,0,282,0.035700,370,370,27,no
TwoWays BFS,240,10,0,282,2.161300,20523,20523,27,no
LCA,240,10,0,282,0.208100,2806,2806,27,no
Binary Lifting,240,10,0,282,0.256400,2937,2937,27,no
Basic BFS,240,20,0,282,0.060200,718,718,0,no
TwoWays BFS,240,20,0,282,2.113600,20523,20523,0,no
LCA,240,20,0,282,0.203800,2806,2806,0,no
Binary Lifting,240,20,0,282,0.250800,2937,2937,0,no
Basic BFS,250,1,0,292,0.002500,5,5,2,no
TwoWays BFS,250,1,0,292,1.275300,11309,11309,2,no
LCA,250,1,0,292,0.185000,2344,2344,2,no
Binary Lifting,250,1,0,292,0.252800,2986,2986,2,no
Basic BFS,250,5,0,292,0.030000,139,139,27,no
TwoWays BFS,250,5,0,292,1.257500,11309,11309,27,no
LCA,250,5,0,292,0.182000,2344,2344,27,no
Binary Lifting,250,5,0,292,0.252400,2986,2986,27,no
Basic BFS,250,10,0,292,0.087600,656,656,23,no
TwoWays BFS,250,10,0,292,1.532500,11309,11309,23,no
LCA,250,10,0,292,0.210000,2344,2344,23,no
Binary Lifting,250,10,0,292,0.254800,2986,2986,23,no
Basic BFS,250,20,0,292,0.069600,748,748,0,no
TwoWays BFS,250,20,0,292,1.521000,11309,11309,0,no
LCA,250,20,0,292,0.225500,2344,2344,0,no
Binary Lifting,250,20,0,292,0.314600,2986,2986,0,no
Basic BFS,260,1,0,302,0.002400,5,5,2,no
TwoWays BFS,260,1,0,302,1.205000,10840,10840,2,no
LCA,260,1,0,302,0.185200,2363,2363,2,no
Binary Lifting,260,1,0,302,0.278200,3376,3376,2,no
Basic BFS,260,5,0,302,0.022500,145,145,27,no
TwoWays BFS,260,5,0,302,1.392100,10840,10840,27,no
LCA,260,5,0,302,0.293400,2363,2363,27,no
Binary Lifting,260,5,0,302,0.384700,3376,3376,27,no
Basic BFS,260,10,0,302,0.077700,715,715,24,no
